Image,Label,area,perimeter,circularity,eccentricity,mean_gray,std_gray,mean_h,mean_s,mean_v,std_h,std_s,std_v,grad_mean,grad_std
128,Tumor,1213.0,302.5929266214371,0.16647657076733374,0.7140779691886828,143.92293382939144,53.43024702406889,133.42014350252458,76.31676853574275,176.13765612543182,28.634142184184682,43.334445261648824,42.029508552817376,123.98583221435547,87.70973205566406
129,Lymphocyte,135.0,91.4558436870575,0.20282463891044838,0.5955996690092971,61.679621848739494,40.55859031816191,149.92857142857142,161.61344537815125,98.96533613445378,11.78952064839153,30.041843156341287,51.138034654573815,72.76488494873047,69.79863739013672
130,Lymphocyte,349.5,156.52691102027893,0.17925819315037678,0.8082183559615673,120.89655172413794,66.31355683886748,138.13399014778324,88.9487684729064,150.77931034482756,13.405674018913933,53.498209867943004,57.081935454129486,103.55104064941406,73.37544250488281
131,Tumor,255.0,93.4558435678482,0.36689105243027004,0.6781428527523955,84.12457912457913,23.55517847318657,153.08613916947252,134.32884399551068,123.85157126823795,7.351304794110779,19.374264367029205,27.884494408099126,63.885467529296875,41.40913772583008
132,Fibroblast,309.5,85.35533821582794,0.5338375789196188,0.9288507491740113,136.46666666666667,43.93211935601458,150.94444444444446,82.50333333333333,169.44,10.479992696255804,29.53233613816859,39.479752335145726,74.90925598144531,47.60442352294922
133,Plasma,319.0,150.7695518732071,0.17634910466382814,0.8767059440087808,126.66146341463414,53.419623030190756,136.41560975609755,88.21853658536585,163.31024390243903,16.805253250793942,43.5185079528674,42.20421135429581,106.2352066040039,64.18307495117188
134,Plasma,207.5,116.04163026809692,0.19364233991843066,0.7134957588276413,99.83779761904762,51.24435683130661,140.86458333333331,102.78869047619047,133.16517857142856,11.292952203443091,38.55623587016275,47.689700538670984,73.57113647460938,60.47526168823242
135,Lymphocyte,191.5,85.21320295333862,0.33140943088364583,0.8842805005604366,107.19391025641026,67.95241944970664,131.78685897435898,105.29647435897435,142.82692307692307,19.6124572952906,56.44299018847257,57.2870542342704,95.73417663574219,83.05408477783203
136,Tumor,317.0,125.5979790687561,0.25252467643350807,0.6783940651571666,91.38780487804878,14.97362225629198,148.06036585365854,122.35426829268293,129.73536585365855,4.563176029467292,13.134741915862321,14.73218537223029,27.4798641204834,20.11184310913086
137,Lymphocyte,174.0,143.11269783973694,0.10675857660708953,0.522052972695424,101.4304,71.85653732152699,132.34560000000002,115.552,138.1248,23.873042550961056,60.85500879960498,62.756548861134824,132.13629150390625,127.31649780273438
138,Tumor,72.0,39.65685415267944,0.5753151889167588,0.7522685515196031,106.81190476190476,30.20427045162222,147.5964285714286,105.09285714285716,143.48214285714286,8.01666339612677,23.857931623687385,27.617923186265294,54.4056396484375,42.68438720703125
139,Fibroblast,627.5,202.46803605556488,0.19235817751821974,0.8827516364750627,95.78879310344827,23.32696298260184,159.5188577586207,136.87230603448276,143.2176724137931,5.323041770950345,17.771034412176316,30.256500978779588,53.657527923583984,35.3925895690918
140,Lymphocyte,32.0,53.31370830535889,0.14147576767697673,0.8416575117806135,47.407407407407405,25.722124134644098,138.66931216931215,160.56084656084656,82.65873015873015,9.466127866005793,29.461260570715737,30.36144590314011,63.42270278930664,64.95240783691406
141,Lymphocyte,83.0,50.485281109809875,0.40922145820327005,0.9394131638210864,89.39571428571429,45.621852332013894,139.15714285714284,118.84857142857143,127.4,6.30064784488951,38.5557471827006,38.92388176208238,58.52823257446289,56.8023681640625
142,Fibroblast,495.5,129.98275482654572,0.36853780822697435,0.8749612298758926,99.89748677248677,46.719521587740935,153.8339947089947,127.40674603174602,144.14153439153438,15.791493018937992,32.18959265237721,53.211602841962254,113.72460174560547,81.0938949584961
143,Lymphocyte,121.0,50.485281229019165,0.5965758579368136,0.7472382562555422,99.99298245614035,45.960623343493715,145.64912280701753,106.36140350877193,133.76491228070176,9.998581001199849,36.89295922171908,41.14860740850134,60.845245361328125,49.78187942504883
144,Plasma,52.0,39.31370830535889,0.4227904660090817,0.9613355075215141,70.93766578249337,44.36642202803823,132.89655172413794,132.58355437665782,111.14588859416445,9.012217689613907,39.62060184151902,42.62419756246861,91.28063201904297,76.38623809814453
145,Lymphocyte,571.0,92.76955187320709,0.8337484792268626,0.2828788871682244,104.45767575322812,62.45692922164284,153.89598278335725,127.38235294117648,143.20086083213775,15.111254499755255,50.52255775489181,68.04787621178723,99.56414794921875,98.63587951660156
146,Tumor,230.0,141.11269760131836,0.14514614698043052,0.6179974394422127,113.0971250971251,40.43397891169743,139.8034188034188,97.06449106449107,151.45998445998447,12.49271007186204,34.14059380688779,34.24920883051843,90.43717193603516,59.62131118774414
147,Plasma,168.5,93.55634903907776,0.24191524536737458,0.9347878026527932,110.84032258064516,67.8079973389699,128.03387096774193,103.3758064516129,146.99516129032259,23.21131150516495,52.09410586894759,60.741453474009624,108.51129913330078,90.34428405761719
148,Plasma,271.5,145.8406194448471,0.1604067713114983,0.629892281971961,133.6032196969697,49.30450711092986,134.04261363636363,79.02083333333333,168.39015151515153,18.00644566795871,36.758341942147766,42.044678364388965,86.40533447265625,52.525062561035156
149,Lymphocyte,43.0,40.485281109809875,0.32967347130184993,0.8201528148957137,70.06916996047431,24.65102596504284,140.27272727272725,128.73715415019763,105.33794466403161,5.806219174259497,24.251076399319736,23.111741427746786,52.810123443603516,41.63620376586914
150,Tumor,292.0,128.28427064418793,0.2229697242287114,0.830325736452857,91.84966524650031,27.508664792361003,146.1436396835058,115.58673158855751,128.15763846622033,6.6025364938467295,22.62306428366537,26.24383730966188,40.45016860961914,31.494457244873047
151,Lymphocyte,133.5,79.21320283412933,0.2673597230229054,0.8580123660454857,88.80798771121351,56.162850200538095,134.61443932411674,123.81259600614439,129.0030721966206,21.580564742583487,47.16453431935725,53.4058453950393,122.9717025756836,107.34427642822266
152,Plasma,189.0,116.28427028656006,0.175642546248639,0.5719203205836079,107.47066666666667,51.62982154616544,140.476,107.69466666666666,146.35733333333332,24.443487694407814,45.19680045706285,44.47714371324776,105.34685516357422,87.69066619873047
153,Lymphocyte,389.0,168.7695517539978,0.17162133324917175,0.7808991110149616,98.24074074074075,69.07519361618796,148.20164609053498,128.97942386831278,134.89814814814815,25.763814812038003,54.536633858259705,73.36081777793927,100.5924301147461,93.47456359863281
154,Plasma,523.5,171.84061932563782,0.22277932899142103,0.7778677273065551,112.94285714285714,51.5238204193091,141.72277992277992,97.75675675675676,147.72741312741312,14.973218768952691,45.44243571815608,43.34646963695693,95.65884399414062,83.30817413330078
155,Lymphocyte,130.5,118.04163002967834,0.11769282289141006,0.7762621667615304,57.23235294117647,32.979300286768435,149.5014705882353,162.65882352941176,93.39558823529411,10.503220691587629,29.083370199227733,41.780705277406575,61.51856231689453,62.71826934814453
